중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][구로구],,,,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,,,"무효
투표수",기권수,
  ,  ,  ,  ,"더불어민주당
이인영","미래통합당
김재식","정의당
이호성",,"우리공화당
황인규","민중당
유선희","국가혁명배당금당
김장원",계,  ,  ,
  ,관내사전투표,"5,488","5,487","3,580","1,645",24,,192,0,0,"5,441",46,1,
  ,구로제5동제1투,"2,659","1,505",742,627,13,,107,0,0,"1,489",16,"1,154",
  ,구로제5동제2투,"3,078","1,885",931,847,6,,82,0,0,"1,866",19,"1,193",
  ,구로제5동제3투,"2,994","1,471",783,594,12,,67,0,0,"1,456",15,"1,523",
  ,구로제5동제4투,"3,349","1,527",870,513,17,,99,0,0,"1,499",28,"1,822",
  ,구로제5동제5투,"4,069","2,303","1,269",886,17,,101,0,0,"2,273",30,"1,766",
  ,구로제5동제6투,"3,169","2,251","1,016","1,122",11,,80,0,0,"2,229",22,918,
  ,소계,"7,955","4,144","2,208","1,628",44,,187,0,0,"4,067",77,"3,811",
  ,관내사전투표,"1,494","1,494",911,494,12,,58,0,0,"1,475",19,0,
  ,가리봉동제1투,"1,999",717,343,308,11,,40,0,0,702,15,"1,282",
  ,가리봉동제2투,"2,517","1,027",493,459,13,,40,0,0,"1,005",22,"1,490",
  ,가리봉동제3투,"1,945",906,461,367,8,,49,0,0,885,21,"1,039",
  ,잘못 투입·구분된 투표지,0,2,0,2,0,,0,0,0,2,0,-2,
,,,,,,,,,,,,,,
