중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][금천구],,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,"무효
투표수",기권수,
,,,,"더불어민주당
최기상","미래통합당
강성만",,"국가혁명배당금당
박창래","무소속
차성수",계,,,
  ,시흥제4동제3투,"1,832",926,380,410,,14,110,914,12,906,
  ,시흥제4동제4투,"2,375","1,400",614,552,,9,208,"1,383",17,975,
  ,시흥제4동제5투,"2,369","1,143",473,489,,8,151,"1,121",22,"1,226",
  ,시흥제4동제6투,"2,386","1,291",564,499,,19,188,"1,270",21,"1,095",
  ,소계,"17,145","10,713","4,772","4,005",,85,"1,684","10,546",167,"6,432",
  ,관내사전투표,"4,000","4,000","1,989","1,312",,32,609,"3,942",58,0,
  ,시흥제5동제1투,"2,315","1,181",448,464,,13,237,"1,162",19,"1,134",
  ,시흥제5동제2투,"3,064","1,439",622,560,,10,214,"1,406",33,"1,625",
  ,시흥제5동제3투,"2,980","1,663",718,666,,5,248,"1,637",26,"1,317",
  ,시흥제5동제4투,"2,481","1,206",476,488,,14,207,"1,185",21,"1,275",
  ,시흥제5동제5투,"2,305","1,224",519,515,,11,169,"1,214",10,"1,081",
  ,잘못 투입·구분된 투표지,0,1,1,0,,0,0,1,0,-1,
,,,,,,,,,,,,
