중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][도봉구],,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,"무효
투표수",기권수,
  ,  ,  ,  ,"더불어민주당
인재근","미래통합당
김재섭",,"정의당
윤오","국가혁명배당금당
박영찬",계,  ,  ,
  ,관내사전투표,"4,160","4,160","2,421","1,650",,17,32,"4,120",40,0,
  ,도봉1동제1투,"2,767","1,111",541,540,,7,14,"1,102",9,"1,656",
  ,도봉1동제2투,"3,610","2,062",922,"1,072",,15,17,"2,026",36,"1,548",
  ,도봉1동제3투,"1,940",923,401,472,,11,8,892,31,"1,017",
  ,도봉1동제4투,"1,258",669,290,348,,7,6,651,18,589,
  ,도봉1동제5투,"2,284","1,365",567,756,,5,8,"1,336",29,919,
  ,도봉1동제6투,"3,536","1,827",818,892,,17,16,"1,743",84,"1,709",
  ,소계,"23,983","16,219","8,252","7,524",,92,89,"15,957",262,"7,764",
  ,관내사전투표,"4,686","4,673","2,812","1,784",,13,15,"4,624",49,13,
  ,도봉2동제1투,"2,114",892,424,434,,6,5,869,23,"1,222",
  ,도봉2동제2투,"2,414","1,533",659,835,,9,8,"1,511",22,881,
  ,도봉2동제3투,"2,196","1,023",542,459,,7,6,"1,014",9,"1,173",
  ,도봉2동제4투,"2,343","1,296",641,583,,14,11,"1,249",47,"1,047",
  ,도봉2동제5투,"3,548","2,192","1,025","1,105",,18,14,"2,162",30,"1,356",
  ,도봉2동제6투,"3,169","2,180","1,043","1,050",,14,9,"2,116",64,989,
  ,도봉2동제7투,"3,513","2,430","1,106","1,274",,11,21,"2,412",18,"1,083",
  ,잘못 투입·구분된 투표지,0,7,3,2,,0,0,5,2,-7,
,,,,,,,,,,,,
