중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][관악구],,,,,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,,,,"무효
투표수",기권수,
  ,  ,  ,  ,"더불어민주당
유기홍","민생당
이승한","정의당
이동영",,"우리공화당
권미성","민중당
송명숙","국가혁명배당금당
김용태","무소속
김성식",계,  ,  ,
  ,관내사전투표,"3,095","3,095","1,974",997,36,,8,28,8,15,"3,066",29,0,
  ,서림동제1투,"3,459","1,668",791,752,43,,9,17,12,13,"1,637",31,"1,791",
  ,서림동제2투,"2,922","2,073",892,"1,105",19,,7,12,4,14,"2,053",20,849,
  ,서림동제3투,"2,867","1,296",588,601,25,,7,22,10,17,"1,270",26,"1,571",
  ,서림동제4투,"3,570","1,655",786,725,29,,13,37,16,21,"1,627",28,"1,915",
  ,서림동제5투,"3,286","1,832",940,773,38,,3,22,15,16,"1,807",25,"1,454",
  ,소계,"21,321","14,347","7,542","6,175",175,,69,104,57,76,"14,198",149,"6,974",
  ,관내사전투표,"4,969","4,969","2,998","1,775",57,,14,40,13,18,"4,915",54,0,
  ,삼성동제1투,"2,432","1,016",452,506,11,,9,8,10,8,"1,004",12,"1,416",
  ,삼성동제2투,"2,801","1,617",772,737,21,,16,16,11,15,"1,588",29,"1,184",
  ,삼성동제3투,"3,084","1,784",853,861,24,,7,10,11,5,"1,771",13,"1,300",
  ,삼성동제4투,"2,367","1,334",635,633,20,,8,11,5,8,"1,320",14,"1,033",
  ,삼성동제5투,"2,569","1,490",798,627,25,,10,10,1,5,"1,476",14,"1,079",
  ,삼성동제6투,"3,099","2,137","1,034","1,036",17,,5,9,6,17,"2,124",13,962,
  ,소계,"20,210","12,442","6,555","5,168",199,,61,157,61,88,"12,289",153,"7,768",
  ,관내사전투표,"5,240","5,240","3,226","1,770",76,,14,65,15,28,"5,194",46,0,
  ,대학동제1투,"4,245","1,771",772,845,42,,23,26,9,20,"1,737",34,"2,474",
  ,대학동제2투,"3,017","1,826",781,961,22,,5,17,6,10,"1,802",24,"1,191",
  ,대학동제3투,"3,948","1,915",982,815,28,,8,28,21,15,"1,897",18,"2,033",
  ,대학동제4투,"3,760","1,690",794,777,31,,11,21,10,15,"1,659",31,"2,070",
  ,잘못 투입·구분된 투표지,0,6,2,3,0,,0,0,0,1,6,0,-6,
,,,,,,,,,,,,,,,
