중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][강북구],,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,"무효
투표수",기권수,
  ,  ,  ,  ,"더불어민주당
천준호","미래통합당
정양석",,"민중당
김은진","무소속
선계선",계,  ,  ,
  ,국외부재자투표(공관),0,10,5,4,,1,0,10,0,-10,
  ,소계,"20,264","11,838","7,460","4,136",,95,0,"11,691",147,"8,426",
  ,관내사전투표,"3,388","3,388","2,344",990,,23,0,"3,357",31,0,
  ,삼양동제1투,"1,355",387,225,150,,6,0,381,6,968,
  ,삼양동제2투,"2,086","1,009",578,408,,5,0,991,18,"1,077",
  ,삼양동제3투,"2,232","1,013",638,354,,8,0,"1,000",13,"1,219",
  ,삼양동제4투,"2,796","1,390",860,498,,14,0,"1,372",18,"1,406",
  ,삼양동제5투,"2,915","1,663","1,037",594,,12,0,"1,643",20,"1,252",
  ,삼양동제6투,"1,829",823,497,306,,7,0,810,13,"1,006",
  ,삼양동제7투,"1,314",674,372,284,,3,0,659,15,640,
  ,삼양동제8투,"2,349","1,491",909,552,,17,0,"1,478",13,858,
  ,소계,"19,814","12,386","7,928","4,162",,102,0,"12,192",194,"7,428",
  ,관내사전투표,"4,581","4,581","3,329","1,176",,29,0,"4,534",47,0,
  ,미아동제1투,"2,942","1,449",906,502,,12,0,"1,420",29,"1,493",
  ,미아동제2투,"1,435",814,492,303,,12,0,807,7,621,
  ,미아동제3투,"3,434","1,781",997,713,,23,0,"1,733",48,"1,653",
  ,미아동제4투,"2,579","1,313",745,536,,5,0,"1,286",27,"1,266",
  ,미아동제5투,"2,362","1,267",759,479,,11,0,"1,249",18,"1,095",
  ,미아동제6투,"2,481","1,181",700,453,,10,0,"1,163",18,"1,300",
  ,소계,"24,581","14,809","9,262","5,253",,110,0,"14,625",184,"9,772",
  ,관내사전투표,"4,005","4,004","2,887","1,062",,18,0,"3,967",37,1,
  ,송중동제1투,"2,564","1,067",626,423,,8,0,"1,057",10,"1,497",
  ,송중동제2투,"2,394","1,156",680,442,,11,0,"1,133",23,"1,238",
  ,송중동제3투,"2,937","1,762",989,741,,13,0,"1,743",19,"1,175",
  ,송중동제4투,"2,818","1,579",907,630,,13,0,"1,550",29,"1,239",
  ,송중동제5투,"2,595","1,497",949,521,,11,0,"1,481",16,"1,098",
  ,송중동제6투,"1,916",932,519,395,,9,0,923,9,984,
  ,송중동제7투,"2,886","1,579",960,582,,13,0,"1,555",24,"1,307",
  ,송중동제8투,"2,466","1,233",745,457,,14,0,"1,216",17,"1,233",
  ,소계,"23,680","14,263","8,683","5,242",,143,0,"14,068",195,"9,417",
  ,관내사전투표,"3,825","3,825","2,670","1,083",,26,0,"3,779",46,0,
  ,송천동제1투,"2,746","1,140",613,492,,19,0,"1,124",16,"1,606",
  ,송천동제2투,"2,171","1,173",675,461,,18,0,"1,154",19,998,
  ,송천동제3투,"2,337","1,313",744,543,,15,0,"1,302",11,"1,024",
  ,송천동제4투,"2,289","1,403",794,582,,9,0,"1,385",18,886,
  ,송천동제5투,"2,676","1,404",817,546,,19,0,"1,382",22,"1,272",
  ,송천동제6투,"2,339","1,205",706,462,,13,0,"1,181",24,"1,134",
  ,송천동제7투,"2,774","1,519",953,542,,7,0,"1,502",17,"1,255",
  ,송천동제8투,"2,523","1,281",711,531,,17,0,"1,259",22,"1,242",
  ,소계,"24,392","17,195","11,083","5,850",,108,0,"17,041",154,"7,197",
  ,관내사전투표,"4,832","4,831","3,545","1,233",,19,0,"4,797",34,1,
  ,삼각산동제1투,"2,365","1,406",864,523,,8,0,"1,395",11,959,
  ,삼각산동제2투,"2,062",981,545,408,,11,0,964,17,"1,081",
  ,삼각산동제3투,"2,886","1,908","1,208",666,,15,0,"1,889",19,978,
  ,삼각산동제4투,"2,224","1,623",956,644,,11,0,"1,611",12,601,
  ,삼각산동제5투,"2,981","2,108","1,373",705,,11,0,"2,089",19,873,
  ,삼각산동제6투,"2,560","1,440",788,619,,14,0,"1,421",19,"1,120",
  ,삼각산동제7투,"2,041","1,287",744,521,,12,0,"1,277",10,754,
  ,삼각산동제8투,"2,441","1,611","1,060",531,,7,0,"1,598",13,830,
  ,소계,"14,683","9,498","5,712","3,544",,88,0,"9,344",154,"5,185",
  ,관내사전투표,"3,584","3,582","2,366","1,148",,22,0,"3,536",46,2,
  ,번3동제1투,"1,755",744,380,339,,14,0,733,11,"1,011",
  ,번3동제2투,"2,400","1,341",813,499,,9,0,"1,321",20,"1,059",
  ,번3동제3투,"1,748",806,465,314,,11,0,790,16,942,
  ,번3동제4투,"2,502","1,464",799,603,,23,0,"1,425",39,"1,038",
  ,번3동제5투,"2,694","1,561",889,641,,9,0,"1,539",22,"1,133",
  ,잘못 투입·구분된 투표지,0,5,5,0,,0,0,5,0,-5,
,,,,,,,,,,,,
