중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][노원구],,,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,,"무효
투표수",기권수,
  ,  ,  ,  ,"더불어민주당
고용진","미래통합당
이노근",,"민중당
최나영","국가혁명배당금당
조덕실",  ,계,  ,  ,
  ,상계9동제2투,"3,017","1,902",819,"1,034",,30,5,3,"1,891",11,"1,115",
  ,상계9동제3투,"3,043","1,843",883,900,,24,7,11,"1,825",18,"1,200",
  ,상계9동제4투,"3,541","2,193","1,036","1,090",,35,15,8,"2,184",9,"1,348",
  ,소계,"13,673","9,881","5,196","4,387",,173,31,28,"9,815",66,"3,792",
  ,관내사전투표,"3,746","3,746","2,296","1,364",,58,10,4,"3,732",14,0,
  ,상계10동제1투,"2,766","1,737",738,954,,24,9,4,"1,729",8,"1,029",
  ,상계10동제2투,"2,766","1,617",796,767,,31,3,4,"1,601",16,"1,149",
  ,상계10동제3투,"1,673","1,071",553,469,,27,6,8,"1,063",8,602,
  ,상계10동제4투,"2,722","1,710",813,833,,33,3,8,"1,690",20,"1,012",
  ,잘못 투입·구분된 투표지,0,15,13,2,,0,0,0,15,0,-15,
,,,,,,,,,,,,,
