중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][성북구],,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,"무효
투표수",기권수,
  ,  ,  ,  ,"더불어민주당
김영배","미래통합당
한상학",,"민생당
박춘림","국가혁명배당금당
최원용",계,  ,  ,
  ,관내사전투표,"5,210","5,209","3,326","1,769",,51,22,"5,168",41,1,
  ,석관동제1투,"3,510","1,562",819,681,,29,15,"1,544",18,"1,948",
  ,석관동제2투,"2,886","1,477",810,623,,23,7,"1,463",14,"1,409",
  ,석관동제3투,"3,597","1,677",864,734,,27,22,"1,647",30,"1,920",
  ,석관동제4투,"3,042","1,810",922,814,,35,13,"1,784",26,"1,232",
  ,석관동제5투,"3,539","2,341","1,176","1,111",,25,12,"2,324",17,"1,198",
  ,석관동제6투,"2,505","1,292",696,537,,23,17,"1,273",19,"1,213",
  ,석관동제7투,"3,060","1,651",844,736,,39,10,"1,629",22,"1,409",
  ,석관동제8투,"1,768",957,529,388,,17,12,946,11,811,
  ,잘못 투입·구분된 투표지,0,8,5,3,,0,0,8,0,-8,
,,,,,,,,,,,,
