중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,,,,,,,
[제20대][국회의원선거][국회의원선거][서울특별시][종로구],,,,,,,,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,,,,,,,"무효
투표수",기권수,
,,,,"새누리당
오세훈","더불어민주당
정세균","국민의당
박태순","정의당
윤공규","노동당
김한울",,"녹색당
하승수","진리대한당
이석인","한나라당
박종구","무소속
김대한","무소속
이원옥",계,,,
  ,관내사전투표,546,546,204,306,27,1,0,,2,1,0,1,1,543,3,0,
  ,숭인제1동제1투,"2,918","1,404",556,742,78,5,3,,0,1,1,1,3,"1,390",14,"1,514",
  ,숭인제1동제2투,"2,201","1,323",458,750,80,5,9,,8,2,0,1,3,"1,316",7,878,
  ,소계,"8,481","4,557","1,594","2,521",311,29,16,,25,7,2,8,4,"4,517",40,"3,924",
  ,관내사전투표,707,707,236,414,39,3,4,,5,2,0,0,0,703,4,0,
  ,숭인제2동제1투,"2,279","1,081",378,583,89,3,4,,10,1,0,2,2,"1,072",9,"1,198",
  ,숭인제2동제2투,"2,898","1,343",497,712,90,14,4,,2,3,1,1,0,"1,324",19,"1,555",
  ,숭인제2동제3투,"2,597","1,426",483,812,93,9,4,,8,1,1,5,2,"1,418",8,"1,171",
  ,잘못 투입·구분된 투표지,0,9,3,3,2,0,0,,0,0,0,1,0,9,0,-9,
,,,,,,,,,,,,,,,,,,
